image_path,x_start,y_start,x_end,y_end,class_label
images/none/IMG_3283.jpg,51,60,2255,3023,5
images/none/IMG_3295.jpg,25,42,2285,3057,5
images/none/IMG_3256.jpg,21,34,2285,3062,5
images/none/IMG_3313.jpg,1012,1616,2037,2719,5
images/none/IMG_1904.jpg,12,38,2243,3045,5
images/none/IMG_3240.jpg,34,38,2251,3045,5
images/none/IMG_3305.jpg,922,1303,1839,2247,5
images/none/IMG_3237.jpg,47,38,2273,3045,5
images/none/IMG_3260.jpg,30,38,2264,3040,5
images/none/IMG_3299.jpg,802,1449,1711,2285,5
images/none/IMG_3276.jpg,38,38,2247,3015,5
images/none/IMG_3221.jpg,42,38,2281,3045,5
images/none/IMG_1908.jpg,38,34,2285,3045,5
images/none/IMG_3309.jpg,930,1621,1882,2448,5
images/none/IMG_3308.jpg,694,1749,1814,2667,5
images/none/IMG_1909.jpg,25,47,2277,3049,5
images/none/IMG_3298.jpg,531,1127,1719,2174,5
images/none/IMG_3277.jpg,21,34,2268,3049,5
images/none/IMG_3261.jpg,25,30,2264,3049,5
images/none/IMG_3236.jpg,21,34,2281,3053,5
images/none/IMG_1913.jpg,12,25,2273,3062,5
images/none/IMG_3241.jpg,17,38,2285,3057,5
images/none/IMG_3304.jpg,746,1651,1569,2457,5
images/none/IMG_1905.jpg,25,34,2290,3053,5
images/none/IMG_3257.jpg,34,42,2268,3036,5
images/none/IMG_3312.jpg,94,1728,952,2997,5
images/none/IMG_3294.jpg,300,553,1376,1445,5
images/none/IMG_3282.jpg,17,25,2281,3057,5
images/none/IMG_3231.jpg,17,34,2277,3062,5
images/none/IMG_3289.jpg,373,1960,1754,2856,5
images/none/IMG_3266.jpg,17,30,2285,3062,5
images/none/IMG_3270.jpg,12,34,2281,3083,5
images/none/IMG_3227.jpg,34,25,2260,3045,5
images/none/IMG_1918.jpg,30,47,2298,3062,5
images/none/IMG_3285.jpg,844,1771,1917,2624,5
images/none/IMG_3293.jpg,141,1055,1115,1942,5
images/none/IMG_3250.jpg,21,34,2260,3036,5
images/none/IMG_1902.jpg,38,25,2277,3045,5
images/none/IMG_3246.jpg,34,34,2281,3057,5
images/none/IMG_3303.jpg,1273,1273,2123,2071,5
images/none/IMG_1914.jpg,38,25,2264,3036,5
images/none/IMG_1915.jpg,656,2007,1432,2839,5
images/none/IMG_3247.jpg,34,25,2255,3045,5
images/none/IMG_3302.jpg,1140,1282,1917,2011,5
images/none/IMG_1903.jpg,21,30,2268,3040,5
images/none/IMG_3251.jpg,21,25,2298,3062,5
images/none/IMG_3314.jpg,999,2221,1981,3083,5
images/none/IMG_3292.jpg,394,1664,1458,2556,5
images/none/IMG_3284.jpg,857,2032,2191,3066,5
images/none/IMG_1919.jpg,12,25,2273,3027,5
images/none/IMG_3226.jpg,21,34,2264,3057,5
images/none/IMG_3271.jpg,30,34,2255,3053,5
images/none/IMG_3288.jpg,626,1488,1539,2320,5
images/none/IMG_3267.jpg,34,21,2264,3040,5
images/none/IMG_3230.jpg,51,30,2277,3049,5
images/none/IMG_3248.jpg,21,25,2273,3057,5
images/none/IMG_3225.jpg,21,25,2290,3053,5
images/none/IMG_3272.jpg,21,25,2277,3062,5
images/none/IMG_1920.jpg,540,2633,1106,3075,5
images/none/IMG_3264.jpg,47,30,2290,3049,5
images/none/IMG_3233.jpg,12,21,2290,3057,5
images/none/IMG_1916.jpg,17,17,2277,3057,5
images/none/IMG_3301.jpg,1076,1162,1951,1977,5
images/none/IMG_3244.jpg,12,17,2294,3049,5
images/none/IMG_1900.jpg,17,17,2264,3057,5
images/none/IMG_3252.jpg,30,30,2298,3049,5
images/none/IMG_3229.jpg,25,25,2290,3053,5
images/none/IMG_3291.jpg,960,1934,2290,2997,5
images/none/IMG_3268.jpg,21,25,2281,3036,5
images/none/IMG_3287.jpg,484,1784,2028,2753,5
images/none/IMG_3269.jpg,17,30,2277,3036,5
images/none/IMG_3286.jpg,501,1436,1814,2333,5
images/none/IMG_3290.jpg,977,2448,2170,3083,5
images/none/IMG_3228.jpg,34,25,2290,3057,5
images/none/IMG_3253.jpg,17,17,2273,3062,5
images/none/IMG_1901.jpg,21,17,2303,3062,5
images/none/IMG_3300.jpg,806,1200,1659,1951,5
images/none/IMG_3245.jpg,21,25,2277,3053,5
images/none/IMG_1917.jpg,21,21,2285,3049,5
images/none/IMG_3232.jpg,30,34,2273,3049,5
images/none/IMG_3265.jpg,12,17,2277,3045,5
images/none/IMG_1921.jpg,30,30,2277,3040,5
images/none/IMG_3273.jpg,25,30,2290,3075,5
